,SIC Code,Office,Industry Title
242,4100,Office of Energy & Transportation,LOCAL & SUBURBAN TRANSIT & INTERURBAN HWY PASSENGER TRANS
243,4210,Office of Energy & Transportation,TRUCKING & COURIER SERVICES (NO AIR)
244,4213,Office of Energy & Transportation,TRUCKING (NO LOCAL)
245,4220,Office of Energy & Transportation,PUBLIC WAREHOUSING & STORAGE
246,4231,Office of Energy & Transportation,TERMINAL MAINTENANCE FACILITIES FOR MOTOR FREIGHT TRANSPORT
247,4400,Office of Energy & Transportation,WATER TRANSPORTATION
248,4412,Office of Energy & Transportation,DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT
249,4512,Office of Energy & Transportation,"AIR TRANSPORTATION, SCHEDULED"
250,4513,Office of Energy & Transportation,AIR COURIER SERVICES
251,4522,Office of Energy & Transportation,"AIR TRANSPORTATION, NONSCHEDULED"
252,4581,Office of Energy & Transportation,"AIRPORTS, FLYING FIELDS & AIRPORT TERMINAL SERVICES"
253,4610,Office of Energy & Transportation,PIPE LINES (NO NATURAL GAS)
254,4700,Office of Energy & Transportation,TRANSPORTATION SERVICES
255,4731,Office of Energy & Transportation,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO
256,4812,Office of Technology,RADIOTELEPHONE COMMUNICATIONS
257,4813,Office of Technology,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE)
258,4822,Office of Technology,TELEGRAPH & OTHER MESSAGE COMMUNICATIONS
259,4832,Office of Technology,RADIO BROADCASTING STATIONS
260,4833,Office of Technology,TELEVISION BROADCASTING STATIONS
261,4841,Office of Technology,CABLE & OTHER PAY TELEVISION SERVICES
262,4899,Office of Technology,"COMMUNICATIONS SERVICES, NEC"
263,4900,Office of Energy & Transportation,"ELECTRIC, GAS & SANITARY SERVICES"
264,4911,Office of Energy & Transportation,ELECTRIC SERVICES
265,4922,Office of Energy & Transportation,NATURAL GAS TRANSMISSION
266,4923,Office of Energy & Transportation,NATURAL GAS TRANSMISISON & DISTRIBUTION
267,4924,Office of Energy & Transportation,NATURAL GAS DISTRIBUTION
268,4931,Office of Energy & Transportation,ELECTRIC & OTHER SERVICES COMBINED
269,4932,Office of Energy & Transportation,GAS & OTHER SERVICES COMBINED
270,4941,Office of Energy & Transportation,WATER SUPPLY
271,4950,Office of Energy & Transportation,SANITARY SERVICES
272,4953,Office of Energy & Transportation,REFUSE SYSTEMS
273,4955,Office of Energy & Transportation,HAZARDOUS WASTE MANAGEMENT
274,4961,Office of Energy & Transportation,STEAM & AIR-CONDITIONING SUPPLY
275,4991,Office of Energy & Transportation,COGENERATION SERVICES & SMALL POWER PRODUCERS
